Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/RC,Player,Team
1 (c)(k),1,04/19/2008,1st,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,lbw b J R Hopes,2,3,66.67,2,2.0,66.67,Ms dhoni,CSK
2 (c)(k),2,04/23/2008,1st,5,Mumbai Indians,MA Chidambaram Stadium,c D J J Bravo b M Khote,30,16,187.5,32,16.0,168.42,Ms dhoni,CSK
3 (c)(k),3,04/26/2008,2nd,3,Kolkata Knight Riders,MA Chidambaram Stadium,not out,43*,27,159.26,75,37.5,163.04,Ms dhoni,CSK
4 (c)(k),4,04/28/2008,1st,5,Royal Challengers Bangalore,M Chinnaswamy Stadium,c sub b Z Khan,65,30,216.67,140,46.67,184.21,Ms dhoni,CSK
5 (c)(k),5,02/05/2008,1st,4,Delhi Capitals,MA Chidambaram Stadium,c Shoaib Malik b Mohammad Asif,32,27,118.52,172,43.0,166.99,Ms dhoni,CSK
6 (c)(k),6,04/05/2008,1st,6,Rajasthan Royals,Sawai Mansingh Stadium,c G C Smith b S K Warne,1,7,14.29,173,34.6,157.27,Ms dhoni,CSK
7 (c)(k),7,06/05/2008,1st,6,Deccan Chargers,MA Chidambaram Stadium,c Shahid Afridi b P P Ojha,23,31,74.19,196,32.67,139.01,Ms dhoni,CSK
8 (c)(k),8,08/05/2008,2nd,3,Delhi Capitals,Arun Jaitley Stadium,c A B de Villiers b V Y Mahesh,33,33,100,229,32.71,131.61,Ms dhoni,CSK
9 (c)(k),9,10/05/2008,1st,5,Punjab Kings,MA Chidambaram Stadium,not out,60*,43,139.53,289,41.29,133.18,Ms dhoni,CSK
10 (c)(k),10,05/14/2008,1st,6,Mumbai Indians,Wankhede Stadium,not out,43*,35,122.86,332,47.43,131.75,Ms dhoni,CSK
11 (c)(k),56,05/18/2008,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,0,332,47.43,131.75,Ms dhoni,CSK
12 (c),11,05/21/2008,2nd,3,Royal Challengers Bangalore,MA Chidambaram Stadium,c A Kumble b R Vinay Kumar,4,8,50,336,42.0,129.23,Ms dhoni,CSK
13 (c),12,05/24/2008,2nd,5,Rajasthan Royals,MA Chidambaram Stadium,c M Kaif b Sohail Tanvir,12,8,150,348,38.67,129.85,Ms dhoni,CSK
14 (c),13,05/27/2008,2nd,4,Deccan Chargers,Rajiv Gandhi International Stadium,c H H Gibbs b P P Ojha,37,25,148,385,38.5,131.4,Ms dhoni,CSK
15 (c),56,05/31/2008,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,0,385,38.5,131.4,Ms dhoni,CSK
16 (c),14,01/06/2008,1st,5,Rajasthan Royals,Dr DY Patil Sports Academy,not out,29*,17,170.59,414,41.4,133.55,Ms dhoni,CSK
17 (c),15,04/18/2009,2nd,5,Mumbai Indians,Newlands,b S L Malinga,36,26,138.46,450,40.91,133.93,Ms dhoni,CSK
18 (c)(k),16,04/20/2009,1st,4,Royal Challengers Bangalore,St George's Park,c R Bishnoi b P Kumar,16,14,114.29,466,38.83,133.14,Ms dhoni,CSK
19 (c)(k),17,04/23/2009,2nd,4,Delhi Capitals,Kingsmead,c †K D Karthik b D L Vettori,5,7,71.43,471,36.23,131.93,Ms dhoni,CSK
20 (c)(k),18,04/27/2009,1st,4,Deccan Chargers,Kingsmead,c Shoaib Ahmed b P P Ojha,22,22,100,493,35.21,130.08,Ms dhoni,CSK
21 (c)(k),19,04/30/2009,1st,6,Rajasthan Royals,Buffalo Park,not out,22*,19,115.79,515,36.79,129.4,Ms dhoni,CSK
22 (c)(k),20,02/05/2009,1st,6,Delhi Capitals,Wanderers Stadium,c G Gambhir b D P Nannes,6,7,85.71,521,34.73,128.64,Ms dhoni,CSK
23 (c)(k),21,04/05/2009,1st,3,Deccan Chargers,Buffalo Park,not out,58*,37,156.76,579,38.6,131,Ms dhoni,CSK
24 (c)(k),22,07/05/2009,1st,4,Punjab Kings,SuperSport Park,not out,56*,27,207.41,635,42.33,135.39,Ms dhoni,CSK
25 (c)(k),56,09/05/2009,2nd,-,Rajasthan Royals,Diamond Oval,did not bat,-,-,0,635,42.33,135.39,Ms dhoni,CSK
26 (c)(k),23,05/14/2009,1st,4,Royal Challengers Bangalore,Kingsmead,c & b R E van der Merwe,18,20,90,653,40.81,133.54,Ms dhoni,CSK
27 (c)(k),24,05/16/2009,2nd,5,Mumbai Indians,St George's Park,not out,23*,22,104.55,676,42.25,132.29,Ms dhoni,CSK
28 (c)(k),25,05/18/2009,1st,4,Kolkata Knight Riders,SuperSport Park,not out,40*,28,142.86,716,44.75,132.84,Ms dhoni,CSK
29 (c)(k),26,05/20/2009,1st,5,Punjab Kings,Kingsmead,b S Sreesanth,2,2,100,718,42.24,132.72,Ms dhoni,CSK
30 (c)(k),27,05/23/2009,1st,3,Royal Challengers Bangalore,Wanderers Stadium,c R Vinay Kumar b R E van der Merwe,28,30,93.33,746,41.44,130.65,Ms dhoni,CSK
31 (c)(k),28,03/14/2010,2nd,6,Deccan Chargers,MA Chidambaram Stadium,b A Symonds,42,29,144.83,788,41.47,131.33,Ms dhoni,CSK
32 (c)(k),29,03/16/2010,1st,5,Kolkata Knight Riders,Eden Gardens,not out,66*,33,200,854,44.95,134.91,Ms dhoni,CSK
33 (c)(k),56,03/25/2010,1st,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,0,854,44.95,134.91,Ms dhoni,CSK
34 (c)(k),30,03/28/2010,2nd,4,Rajasthan Royals,Narendra Modi Stadium,run out,21,19,110.53,875,43.75,134.2,Ms dhoni,CSK
35 (c)(k),31,03/31/2010,2nd,4,Royal Challengers Bangalore,MA Chidambaram Stadium,c R Dravid b D W Steyn,14,19,73.68,889,42.33,132.49,Ms dhoni,CSK
36 (c)(k),32,03/04/2010,1st,5,Rajasthan Royals,MA Chidambaram Stadium,c S Narwal b S R Watson,0,1,0,889,40.41,132.29,Ms dhoni,CSK
37 (c)(k),33,06/04/2010,1st,4,Mumbai Indians,MA Chidambaram Stadium,c & b K A Pollard,31,18,172.22,920,40.0,133.33,Ms dhoni,CSK
38 (c)(k),34,10/04/2010,1st,4,Deccan Chargers,Vidarbha Cricket Association Stadium,b P P Ojha,7,13,53.85,927,38.63,131.86,Ms dhoni,CSK
39 (c)(k),56,04/13/2010,2nd,-,Kolkata Knight Riders,MA Chidambaram Stadium,did not bat,-,-,0,927,38.63,131.86,Ms dhoni,CSK
40 (c)(k),35,04/15/2010,1st,3,Delhi Capitals,MA Chidambaram Stadium,c M Manhas b D P Nannes,0,2,0,927,37.08,131.49,Ms dhoni,CSK
41 (c)(k),36,04/18/2010,2nd,5,Punjab Kings,Himachal Pradesh Cricket Association Stadium,not out,54*,29,186.21,981,39.24,133.65,Ms dhoni,CSK
42 (c)(k),37,04/22/2010,1st,5,Deccan Chargers,Dr DY Patil Sports Academy,c R G Sharma b Harmeet Singh,30,32,93.75,1011,38.88,131.98,Ms dhoni,CSK
43 (c)(k),38,04/25/2010,1st,5,Mumbai Indians,Dr DY Patil Sports Academy,c C R D Fernando b Z Khan,22,15,146.67,1033,38.26,132.27,Ms dhoni,CSK
44 (c)(k),39,08/04/2011,1st,4,Kolkata Knight Riders,MA Chidambaram Stadium,c †M S Bisla b J H Kallis,29,21,138.1,1062,37.93,132.42,Ms dhoni,CSK
45 (c)(k),40,04/13/2011,1st,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b R J Harris,43,20,215,1105,38.1,134.43,Ms dhoni,CSK
46 (c)(k),41,04/16/2011,1st,4,Royal Challengers Bangalore,MA Chidambaram Stadium,c †A B de Villiers b Z Khan,22,16,137.5,1127,37.57,134.49,Ms dhoni,CSK
47 (c)(k),42,04/18/2011,1st,5,Kochi Tuskers Kerala,Nehru Stadium (Kochi),not out,14*,13,107.69,1141,38.03,134.08,Ms dhoni,CSK
48 (c)(k),43,04/22/2011,2nd,5,Mumbai Indians,Wankhede Stadium,c R G Sharma b K A Pollard,3,6,50,1144,36.9,133.49,Ms dhoni,CSK
49 (c)(k),44,04/25/2011,1st,4,Pune Warriors,MA Chidambaram Stadium,st R V Uthappa b R Sharma,26,21,123.81,1170,36.56,133.26,Ms dhoni,CSK
50 (c)(k),56,04/27/2011,2nd,-,Pune Warriors,Dr DY Patil Sports Academy,did not bat,-,-,0,1170,36.56,133.26,Ms dhoni,CSK
51 (c)(k),45,01/05/2011,1st,4,Deccan Chargers,MA Chidambaram Stadium,st K C Sangakkara b P P Ojha,21,22,95.45,1191,36.09,132.33,Ms dhoni,CSK
52 (c)(k),56,04/05/2011,2nd,-,Rajasthan Royals,MA Chidambaram Stadium,did not bat,-,-,0,1191,36.09,132.33,Ms dhoni,CSK
53 (c)(k),56,07/05/2011,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,0,1191,36.09,132.33,Ms dhoni,CSK
54 (c)(k),46,09/05/2011,1st,4,Rajasthan Royals,Sawai Mansingh Stadium,not out,41*,19,215.79,1232,37.33,134.06,Ms dhoni,CSK
55 (c)(k),47,12/05/2011,1st,5,Delhi Capitals,MA Chidambaram Stadium,not out,63*,31,203.23,1295,39.24,136.32,Ms dhoni,CSK
56 (c)(k),48,05/18/2011,1st,6,Kochi Tuskers Kerala,MA Chidambaram Stadium,c †P A Patel b R A Jadeja,9,6,150,1304,38.35,136.4,Ms dhoni,CSK
57 (c)(k),49,05/22/2011,1st,6,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,70*,40,175,1374,40.41,137.95,Ms dhoni,CSK
