Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,S/R,E/R,Avg,Player,Team
1,03/31/2023,2nd,Gujarat Titans,Narendra Modi Stadium,W P Saha (c S Dube),4.0,3/36,8.0,9.0,12.0,Rajvardhan Hangargekar,Chennai Super Kings
,,,,,Sai Sudharsan (c †M S Dhoni),,0/0,,,,Rajvardhan Hangargekar,Chennai Super Kings
,,,,,V Shankar (c M J Santner),,0/0,,,,Rajvardhan Hangargekar,Chennai Super Kings
2,03/04/2023,2nd,Lucknow Super Giants,MA Chidambaram Stadium,,2.0,0/24,12.0,10.0,20.0,Rajvardhan Hangargekar,Chennai Super Kings
1,05/17/2016,1st,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,,2.0,0/13,,6.5,,Deepak Chahar,Chennai Super Kings
2,05/21/2016,1st,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,,3.0,0/28,,8.2,,Deepak Chahar,Chennai Super Kings
3,06/04/2017,1st,Mumbai Indians,Maharashtra Cricket Association Stadium,,2.0,0/21,,8.86,,Deepak Chahar,Chennai Super Kings
4,11/04/2017,1st,Delhi Capitals,Maharashtra Cricket Association Stadium,A P Tare (c †M S Dhoni),3.0,1/35,60.0,9.7,97.0,Deepak Chahar,Chennai Super Kings
5,04/29/2017,2nd,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,,2.0,0/18,72.0,9.58,115.0,Deepak Chahar,Chennai Super Kings
7,10/04/2018,1st,Kolkata Knight Riders,MA Chidambaram Stadium,,1.0,0/18,48.0,9.19,73.5,Deepak Chahar,Chennai Super Kings
8,04/15/2018,1st,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,,3.0,0/37,57.0,9.68,92.0,Deepak Chahar,Chennai Super Kings
9,04/20/2018,2nd,Rajasthan Royals,Maharashtra Cricket Association Stadium,S V Samson (c K V Sharma),4.0,2/30,34.5,9.3,53.5,Deepak Chahar,Chennai Super Kings
,,,,,A M Rahane (b),,0/0,,,,Deepak Chahar,Chennai Super Kings
,,,,,M K Pandey (c K V Sharma),,0/0,,,,Deepak Chahar,Chennai Super Kings
,,,,,D J Hooda (c R A Jadeja),,0/0,,,,Deepak Chahar,Chennai Super Kings
11,04/25/2018,1st,Royal Challengers Bangalore,M Chinnaswamy Stadium,,2.0,0/20,24.86,8.59,35.57,Deepak Chahar,Chennai Super Kings
12,04/28/2018,2nd,Mumbai Indians,Maharashtra Cricket Association Stadium,,2.1,0/19,26.71,8.6,38.29,Deepak Chahar,Chennai Super Kings
17,05/27/2018,1st,Sunrisers Hyderabad,Wankhede Stadium,,4.0,0/25,27.36,7.83,35.73,Deepak Chahar,Chennai Super Kings
