,Team,Player,Role,Auction Price,Nation,S/R,E/R,Avg,Cluster
0,SRH,Abhishek Sharma,Allrounder,INR 6.50 Crores(R),India,-0.16583782058961286,0.030873996685016912,-0.14086581522043107,0
1,RR,Adam Zampa,Bowler,INR 1.5 crore(R),Australia,-1.3644778988030655,-0.590437526959767,-1.3863977871725275,0
2,,Akash Deep ,,,,-0.6042384118060982,2.4402700369297765,0.1666138100784359,2
3,MI,Akash Madhwal,Bowler,INR 20 lakhs(R),India,-0.3481322923500144,1.05074442467167,-0.01579216900000082,2
4,SRH,Akash Singh,Bowler,INR 20 Lakh,India,0.12863905828374875,1.0414602891777403,0.578307650547045,2
5,RCB,Alzarri Joseph,Bowler,INR 11.50 Crores,West Indies,-1.0435133531869085,0.3198398053698201,-0.8802648128274557,0
6,LSG,Amit Mishra,Bowler,INR 50 lakh(R),India,-0.6411682891511067,-1.0622667878998342,-0.9114626512577716,0
7,KKR,Andre Russell,Allrounder,INR 12 Cr(R),West Indies,0.8749072236504227,0.44094762471716004,1.1879297067586485,2
8,DC,Anrich Nortje,Bowler,INR 6.50 Cr(R),South Africa,-0.6423565319111896,-0.42709950215689363,-0.730082952040025,0
9,KKR,Anukul Roy,Allrounder,INR 20 Lakhs(R),India,0.17581494950292165,-0.842703430784718,-0.17744930380601567,0
10,MI,Arjun Tendulkar,Allrounder,INR 30 Lakhs(R),India,0.02249330304061047,0.7768624276007521,0.6708895189777846,2
11,LSG,Arshad Khan,Allrounder,INR 20 Lakhs,India,-0.27825300348161525,3.8205115136939543,1.1341928265290615,2
12,PBKS,Arshdeep Singh,Bowler,INR 4 Cr(R),India,-0.735234761512042,0.32790165972029156,-0.5924184644427208,0
13,RR,Avesh Khan,Bowler,Traded from LSG,India,-0.35272351747759495,0.0609340030539903,-0.2668325484135661,0
14,DC,Axar Patel,Allrounder,INR 9 crores(R),India,0.04314749791500465,-1.0539497498531885,-0.3653872136754378,0
15,LSG,Ayush Badoni,Allrounder,INR 20 Lakhs(R),India,-2.0166225213670494,-2.411912355423875,-2.1573673352109974,0
16,SRH,Bhuvneshwar Kumar,Bowler,INR 4.20 Crores(R),India,-0.17698751284735673,-1.1533306844273965,-0.583079699822252,0
17,,Cameron green,,,,0.9601141410216667,1.0805310260480276,1.5012372552722073,2
18,,Chetan Sakariya,,,,-0.4045467955996086,-0.19926126252488682,-0.4347743693237954,0
19,PBKS,Chris Woakes,Allrounder,INR 4.20 Crore,England,-0.6270597491833729,0.8256636526329445,-0.3493495389490491,0
20,GT,Darshan Nalkande,Bowler,INR 20 Lakhs(R),India,-1.0653041219881456,2.4119018451427707,-0.4366785354120874,2
21,CSK,Daryl Mitchell,Allrounder,INR 14 Crore,New Zealand,0.0,1.318436998079969,0.0,2
22,LSG,David Willey,Allrounder,INR 2 Crore,England,1.4765216645458246,-0.04323620769634928,1.380027234617494,2
23,CSK,Deepak Chahar,Bowler,INR 14 crores(R),India,0.36634377207559216,-0.477011649384942,0.23501370720072093,0
24,LSG,Deepak Hooda,Allrounder,INR 5.75 Crores(R),India,2.461035195006972,-0.2517345226578093,2.2282766468146096,1
25,,Fazalhaq Farooqi,,,,0.6632991587677056,0.9532610019854113,0.8665589997746669,2
26,,Glenn maxwell,,,,1.656785330474284,0.6939683606906674,2.16271057313695,2
27,MI,Hardik Pandya,Allrounder,Traded from GT,India,0.9446537810188619,0.5523312074993375,1.3030755151123874,2
28,PBKS,Harpreet Brar,Bowler,INR 3.80 Crores(R),India,1.2262416685462934,-0.36044417040560545,0.788430254066824,2
29,PBKS,Harshal Patel,Allrounder,INR 11.75 Crore,India,-0.4512509279065896,-0.004425477352873258,-0.3937363070761271,0
30,KKR,Harshit Rana,Bowler,INR 20 Lakhs(R),India,-0.060064506592941574,0.7149681909745543,0.26116550549706347,2
31,DC,Ishant Sharma,Bowler,INR 50 lakh(R),India,0.495726461832936,-0.6485183225154212,0.18250785158695768,0
32,MI,Jason Behrendorff,Bowler,Traded from RCB,Australia,-0.5192129401703126,0.26742524921590494,-0.39712036882454993,0
33,MI,Jasprit Bumrah,Bowler,INR 12 Crores(R),India,0.10023243235677569,-0.4284173052718744,-0.04439405686413573,0
34,GT,Jayant Yadav,Allrounder,INR 1.70 Crores(R),India,1.9613317092808777,-1.800675445745942,0.7387121774223008,0
35,,Jaydev Unadkat ,,,,-0.3780340802973396,-0.05320222884802601,-0.38476114135200246,0
36,DC,Jhye Richardson,Bowler,INR 5 Crore,Australia,0.710475049986878,2.4789539348211496,1.865917891629887,2
37,GT,Joshua Little,Bowler,INR 4.4 crore(R),Ireland,1.2439557531903551,0.4003391547913915,1.397099068512524,2
38,PBKS,Kagiso Rabada,Bowler,INR 9.25 Crores(R),South Africa,-0.993220483440755,-0.21086643189229767,-0.9752479941577162,0
39,,Karn sharma,,,,-0.19274670064686464,-1.0002021579138787,-0.5396723464930925,0
40,GT,Kartik Tyagi,Bowler,INR 60 Lakh,India,0.21300527708070296,0.5916955030273805,0.4777414167253988,2
41,DC,Khaleel Ahmed,Bowler,INR 5.25 crores(R),India,-0.9387154805500323,0.12457187350139894,-0.873989506851755,0
42,,Krishnappa Gowtham,,,,0.49194958244663944,-0.24102865952354183,0.3475377288516992,0
43,LSG,Krunal Pandya,Allrounder,INR 8.25 Crores(R),India,0.37514801898342537,-1.0213022538764478,-0.08105577859618131,0
44,RR,Kuldeep Sen,Bowler,INR 20 Lakhs(R),India,-0.29417486676808574,0.695626242028869,-0.011721193225031904,2
45,DC,Kuldeep Yadav,Bowler,INR 2 crores(R),India,-0.4886430367197722,-0.24091882059430272,-0.5235170851556921,0
46,,Kumar Kartikeya,,,,0.0015262402765338127,-0.4653205157999935,-0.19706002581876814,0
